#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
26000,52.000000000017586,-6023.8889712526825,294.3926102153243,1.0235246740091732
26500,53.00000000001881,-6148.0426286405545,311.94325406107254,1.0436544163266006
27000,54.00000000002003,-6157.046165838934,295.7115769521588,1.0344259078541975
27500,55.00000000002125,-6231.627592742023,287.2502186090032,1.0126106850604726
28000,56.000000000022474,-6147.253931477643,305.5659289528069,1.003758428961398
28500,57.0000000000237,-6267.168946134574,307.7103881113263,1.0424278930386934
29000,58.00000000002492,-6148.522644252453,304.71282726345925,1.0375789315131227
29500,59.00000000002614,-6159.635486201488,295.822259842433,0.989778127985769
30000,60.00000000002736,-6116.17332559043,286.28701631094833,1.0141051824522986
30500,61.000000000028585,-6207.906056970237,311.51134532116987,0.9882918715296738
31000,62.00000000002981,-6071.644097580195,313.19165117459374,1.0119097399648482
31500,63.00000000003103,-5985.65511759478,287.972031669729,0.9800372516188124
32000,64.00000000003224,-6073.862503637622,291.843210849332,1.0179936323197192
32500,65.00000000002991,-6212.229947406923,321.42491622421113,1.0246964802367637
33000,66.00000000002758,-6142.302742132281,292.6278258900514,1.008274993488436
33500,67.00000000002525,-6104.6237362538,312.3857774484017,1.0057857880656986
34000,68.00000000002292,-6008.9638291981,310.9254607811786,0.952510633398115
34500,69.00000000002059,-6082.814899656324,290.27243896821,0.97460045211835
35000,70.00000000001826,-6171.432491576724,281.6811390560305,0.9951483208158696
35500,71.00000000001593,-6109.620469437757,307.42179602216896,1.0046779820924323
36000,72.0000000000136,-6159.258676255572,302.3394388692527,1.0044371496015847
36500,73.00000000001127,-6074.337674890369,266.79470747514233,0.9692479620930314
37000,74.00000000000894,-6137.365690298619,304.6260092774945,0.9728065911625795
37500,75.00000000000661,-6124.4636359904825,331.9181110228363,1.0059206590887624
38000,76.00000000000428,-6065.415201227918,282.2053853873431,1.0034169776494597
38500,77.00000000000195,-6195.763626795563,311.3938680189072,1.0184929581456772
39000,77.99999999999962,-6120.385719087355,305.04302982255786,1.009528241426661
39500,78.99999999999729,-6158.400838258695,311.86983374380964,1.0598738313095832
40000,79.99999999999496,-6165.530462581687,283.8316436433518,1.0504564198082522
40500,80.99999999999262,-6201.512949861429,318.715034139018,1.025485730395247
41000,81.9999999999903,-6032.409010266126,317.4704161842324,0.9954616043160961
41500,82.99999999998796,-6076.897827870626,330.04469283985816,1.0366349264681123
42000,83.99999999998563,-6125.034688146177,313.37854609917196,1.0241342606168236
42500,84.9999999999833,-6118.255002486488,291.1778205414252,1.0101098961678767
