#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
23000,46.00000000001025,-5914.718770037711,331.95630784100206,0.985853597012773
23500,47.000000000011475,-5785.31683720959,310.7828000152574,1.0148388187196868
24000,48.0000000000127,-5724.179240230655,306.33187130689674,1.0040010433527276
24500,49.00000000001392,-5772.623003164969,297.1699357362147,0.9691538222248255
25000,50.00000000001514,-5834.497311979783,309.1162526162088,0.9963787448453608
25500,51.000000000016364,-5771.187778546029,276.66015993938476,0.9508802228635995
26000,52.000000000017586,-5888.415087076522,298.10157532887433,0.976855556697867
26500,53.00000000001881,-5771.981396201625,292.2986780318944,0.9903625069159195
27000,54.00000000002003,-5854.148286375015,311.06253230354747,0.9865290139135025
27500,55.00000000002125,-5889.638810904652,300.2796052915725,1.0148220260262175
28000,56.000000000022474,-5825.413220359911,315.0372823667914,0.986393578038042
28500,57.0000000000237,-5726.330479028274,299.7603043198091,1.0033661205966937
29000,58.00000000002492,-5727.449486859608,299.2111841041626,1.0182426878372879
29500,59.00000000002614,-5768.38771398479,312.4481193756269,0.9865588148971735
30000,60.00000000002736,-5783.535554096345,265.2151451067143,1.0084754739174593
30500,61.000000000028585,-5907.509018588129,294.8828286254527,1.0112171109084473
31000,62.00000000002981,-5893.605517085848,285.33230685164483,1.0068718379433845
31500,63.00000000003103,-5896.055030410062,283.75195179967346,0.9981820022250663
32000,64.00000000003224,-5795.818253820075,294.12715609237284,0.9930721187010305
32500,65.00000000002991,-5864.677871699085,292.16642506461613,0.9926699755970102
33000,66.00000000002758,-5977.230739736118,315.18791750163274,1.0300784357474093
33500,67.00000000002525,-5839.206536485677,280.9761077380251,1.0305523095049565
34000,68.00000000002292,-5875.0390878731705,308.8210069684028,1.0242134971953167
34500,69.00000000002059,-5843.659261144641,315.6816811936534,1.0047572393586006
35000,70.00000000001826,-5833.542209224052,289.87353834650014,0.9968745521434611
35500,71.00000000001593,-5913.992898084507,300.3337736103877,0.9969770889898726
36000,72.0000000000136,-5748.3485139793,287.5263305616264,0.9521224501347522
36500,73.00000000001127,-5826.17980268608,301.5388371840172,0.9637300772590994
37000,74.00000000000894,-5875.684278026243,303.4113235962821,1.0022299025584176
37500,75.00000000000661,-5761.793011814007,287.10609123323616,0.9720447383080465
38000,76.00000000000428,-5899.196094161201,307.57548285231155,0.9923991958140271
38500,77.00000000000195,-5892.636424021691,290.17085526534674,1.0020890360934482
39000,77.99999999999962,-5858.494458050376,299.8611679278798,0.9876811532384026
39500,78.99999999999729,-5882.303423390316,309.65059980010955,0.9737556148454074
40000,79.99999999999496,-5733.0737625453585,303.01698533179956,0.9612207909004209
40500,80.99999999999262,-5769.525531220072,318.29824943889076,0.9602839075423815
41000,81.9999999999903,-5887.802920769598,294.8504307982476,1.0053556911744301
41500,82.99999999998796,-5777.112822120446,292.05672689095434,1.0023606680829935
42000,83.99999999998563,-5902.124559265923,290.94784089354476,0.986257820420188
42500,84.9999999999833,-5828.347793034986,270.9749028750228,0.9689546468072163
