#"Step","Time (ps)","Potential Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
25500,51.000000000016364,-5411.378330385573,300.4490472005062,1.0095087814842965
26000,52.000000000017586,-5555.98631030673,290.9727158962073,1.0207269477326633
26500,53.00000000001881,-5461.81057601689,276.72841200858636,0.9853730370372968
27000,54.00000000002003,-5406.851564865501,277.33698604009305,0.9808383439165023
27500,55.00000000002125,-5484.753712145653,304.0572938403949,0.962522096912935
28000,56.000000000022474,-5551.5045158673975,300.34044932746014,0.9716093839672634
28500,57.0000000000237,-5535.815013187442,291.6180560306744,0.9784827192734908
29000,58.00000000002492,-5571.315373293615,274.5770737805238,0.9922968179066051
29500,59.00000000002614,-5626.773212810809,302.16103629951726,1.0075919526255008
30000,60.00000000002736,-5611.235328793172,298.9412374765682,1.0167691500284275
30500,61.000000000028585,-5538.229046162971,294.25209317283134,0.995887343195996
31000,62.00000000002981,-5485.150532511844,295.80212712156714,1.0123444022592674
31500,63.00000000003103,-5466.107182461077,273.04895173134514,1.0303212103232227
32000,64.00000000003224,-5463.378018587414,297.4360349585252,1.0045908177083345
32500,65.00000000002991,-5400.562230075208,286.3025612555603,0.9702312016838489
33000,66.00000000002758,-5454.290603133282,287.2578952379942,0.991275217577883
33500,67.00000000002525,-5381.238799578432,315.3993363599871,0.9979974353793926
34000,68.00000000002292,-5383.998321355092,324.38086145785,0.9681392749901848
34500,69.00000000002059,-5370.250597697726,283.9017116027563,0.9659912723322136
35000,70.00000000001826,-5413.72635708169,308.77480861337,0.9781267187735524
35500,71.00000000001593,-5410.447266105619,269.88337554424436,1.0019289380416425
36000,72.0000000000136,-5379.966512630191,278.1512445205408,1.0253136949175015
36500,73.00000000001127,-5448.654309064176,275.6016404639052,1.0790964694592944
37000,74.00000000000894,-5420.307382750854,282.1387672274204,1.0289695419694336
37500,75.00000000000661,-5451.765688423315,304.54553575062516,1.0364389838772983
38000,76.00000000000428,-5406.208849471203,293.17882839170693,1.0225422379442057
38500,77.00000000000195,-5330.181771575997,281.63103203569057,0.9917711583764625
39000,77.99999999999962,-5468.705437937741,325.2480072623981,1.0150217607166885
39500,78.99999999999729,-5364.662952221482,315.5789411353627,1.0017862286147534
40000,79.99999999999496,-5294.115241577453,309.1794699158778,1.0148917532148733
40500,80.99999999999262,-5388.6216820798145,328.76059715878694,1.026144040075761
41000,81.9999999999903,-5366.7904897796,313.69821029342467,1.0235721209914936
41500,82.99999999998796,-5381.337803882151,292.2381928477431,1.0167362244626614
42000,83.99999999998563,-5405.271675661496,310.69331316422483,1.0105315317349284
42500,84.9999999999833,-5370.477726827133,309.2350716645483,1.0142817292260327
